Experiment Directory: /mnt/c/Users/rcham/Documents/Git/tomcat/human_experiments/lab_software/data_inventory/

Status            |Description                                 |Directory                       |File(s)                   |Min_Size|Max_Size|Min_Count|Max_Count|File_Size|File_Count|
------------------|--------------------------------------------|--------------------------------|--------------------------|--------|--------|---------|---------|---------|----------|
Face Images:                                                   |                                |                          |        |        |         |         |         |          |
X Dir Not Exist   |Tiger Pupil 000 - blinks.pldata             |tiger/pupil_recorder/000        |blinks.pldata             |1M      |100M    |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - blinks_timestamps.npy     |tiger/pupil_recorder/000        |blinks_timestamps.npy     |1K      |100K    |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - eye0.intrinsics           |tiger/pupil_recorder/000        |eye0.intrinsics           |100     |400     |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - eye0.mp4                  |tiger/pupil_recorder/000        |eye0.mp4                  |1G      |6G      |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - eye0_timestamps.npy       |tiger/pupil_recorder/000        |eye0_timestamps.npy       |1M      |8M      |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - eye1.intrinsics           |tiger/pupil_recorder/000        |eye1.intrinsics           |100     |400     |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - eye1.mp4                  |tiger/pupil_recorder/000        |eye1.mp4                  |1G      |6G      |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - eye1_timestamps.npy       |tiger/pupil_recorder/000        |eye1_timestamps.npy       |1M      |8M      |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - fixations.pldata          |tiger/pupil_recorder/000        |fixations.pldata          |1M      |100M    |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - fixations_timestamps.npy  |tiger/pupil_recorder/000        |fixations_timestamps.npy  |10K     |500K    |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - gaze.pldata               |tiger/pupil_recorder/000        |gaze.pldata               |500M    |800M    |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - gaze_timestamps.npy       |tiger/pupil_recorder/000        |gaze_timestamps.npy       |2M      |7M      |1        |1        |(no dir) |(no dir)  |
