group_session,station,participant,id,task,timestamp_unix,timestamp_iso8601,filename,url,timestamp_origin
exp_2023_04_21_10,leopard,146,900,rest_state,1682100841.9820793,2023-04-21T18:14:01.982079+00:00,000901_2023-04-21_18-14-09.354.PM~232.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_21_10/leopard/screenshots/block_1/000901_2023-04-21_18-14-09.354.PM~232.png,lsl
exp_2023_04_21_10,leopard,146,19280,saturn_a,1682105621.3581789,2023-04-21T19:33:41.358179+00:00,010126_2023-04-21_19-33-47.153.PM~257.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_21_10/leopard/screenshots/block_2/010126_2023-04-21_19-33-47.153.PM~257.png,lsl
exp_2023_04_21_10,lion,73,18600,hands_on_training,-166873.3664581729,1969-12-30T01:38:46.633542+00:00,009274_2023-04-21_19-28-08.021.PM~266.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_21_10/lion/screenshots/block_2/009274_2023-04-21_19-28-08.021.PM~266.png,lsl
exp_2023_04_21_10,tiger,143,921,rest_state,1682100842.1404324,2023-04-21T18:14:02.140432+00:00,000922_2023-04-21_18-14-09.930.PM~241.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_21_10/tiger/screenshots/block_1/000922_2023-04-21_18-14-09.930.PM~241.png,lsl
exp_2023_04_21_10,tiger,143,19275,saturn_a,1682105621.4234467,2023-04-21T19:33:41.423447+00:00,010144_2023-04-21_19-33-46.055.PM~268.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_21_10/tiger/screenshots/block_2/010144_2023-04-21_19-33-46.055.PM~268.png,lsl
exp_2023_04_24_13,leopard,159,1258,rest_state,1682370219.448197,2023-04-24T21:03:39.448197+00:00,001259_2023-04-24_21-03-44.990.PM~211.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_24_13/leopard/screenshots/block_1/001259_2023-04-24_21-03-44.990.PM~211.png,lsl
exp_2023_04_24_13,leopard,159,22778,saturn_b,1682375852.9919195,2023-04-24T22:37:32.991920+00:00,013784_2023-04-24_22-37-39.230.PM~252.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_24_13/leopard/screenshots/block_2/013784_2023-04-24_22-37-39.230.PM~252.png,lsl
exp_2023_04_24_13,lion,151,0,affective_team,1682370944.9772654,2023-04-24T21:15:44.977265+00:00,000001_2023-04-24_20-58-44.275.PM~0.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_24_13/lion/screenshots/block_1/000001_2023-04-24_20-58-44.275.PM~0.png,lsl
exp_2023_04_24_13,lion,151,9759,saturn_a,1682374084.6757834,2023-04-24T22:08:04.675783+00:00,000770_2023-04-24_21-39-13.411.PM~265.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_24_13/lion/screenshots/block_2/000770_2023-04-24_21-39-13.411.PM~265.png,lsl
exp_2023_04_24_13,tiger,153,1285,rest_state,1682370219.5388467,2023-04-24T21:03:39.538847+00:00,001286_2023-04-24_21-03-44.824.PM~215.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_24_13/tiger/screenshots/block_1/001286_2023-04-24_21-03-44.824.PM~215.png,lsl
exp_2023_04_24_13,tiger,153,22754,saturn_b,1682375853.1799378,2023-04-24T22:37:33.179938+00:00,013803_2023-04-24_22-37-39.282.PM~281.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_24_13/tiger/screenshots/block_2/013803_2023-04-24_22-37-39.282.PM~281.png,lsl
exp_2023_04_27_14,leopard,161,342,rest_state,1682633098.459419,2023-04-27T22:04:58.459419+00:00,000343_2023-04-27_22-05-03.342.PM~223.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_27_14/leopard/screenshots/block_1/000343_2023-04-27_22-05-03.342.PM~223.png,lsl
exp_2023_04_27_14,leopard,161,12904,hands_on_training,1682636232.0446312,2023-04-27T22:57:12.044631+00:00,002735_2023-04-27_22-57-05.390.PM~243.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_27_14/leopard/screenshots/block_2/002735_2023-04-27_22-57-05.390.PM~243.png,lsl
exp_2023_04_27_14,lion,99901,0,affective_team,1682634146.398736,2023-04-27T22:22:26.398736+00:00,000001_2023-04-27_22-03-33.148.PM~0.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_27_14/lion/screenshots/block_1/000001_2023-04-27_22-03-33.148.PM~0.png,lsl
exp_2023_04_27_14,lion,99901,450,affective_team,1682634146.3988018,2023-04-27T22:22:26.398802+00:00,000451_2023-04-27_22-05-12.626.PM~209.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_27_14/lion/screenshots/block_1/000451_2023-04-27_22-05-12.626.PM~209.png,lsl
exp_2023_04_27_14,tiger,154,374,rest_state,1682633098.3784347,2023-04-27T22:04:58.378435+00:00,000375_2023-04-27_22-05-04.110.PM~229.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_27_14/tiger/screenshots/block_1/000375_2023-04-27_22-05-04.110.PM~229.png,lsl
